BIOCHEMICAL	PATHWAY_SORTORDER	# times identifed in all 200 samples	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	RI	MASS	CAS	PUBCHEM	KEGG	"Mean (patients with ""No biochemical genetic diagnosis"")"	"standard deviation (patients with ""No biochemical genetic diagnosis"")"	"minimum value (patients with ""No biochemical genetic diagnosis"")"	"maximum value (patients with ""No biochemical genetic diagnosis"")"	    Group HMDB
X - 18933		9			42320	LC/MS (-)	1827.9	249.00832				-2.781358428	0.938082405	-0.222357171	6.573127005	
X - 12845		48			34528	LC/MS (-)	4234	461.23954				-0.861028518	0.421685795	-0.226713298	7.457604124	
X - 14629		13			36556	LC/MS (-)	4565	296.617				-1.584337701	0.502282674	-0.22674893	6.200655597	
X - 15136		171			37277	LC/MS (+)	4063	243.0871				-0.059069792	1.336988886	-1.358900631	5.620194507	
phenobarbital	2929	9	Xenobiotics	Drug	27733	LC/MS (-)	3197	231.07751	50-06-6	4763	C07434	-5.610050032	1.619354251	-0.233593818	5.395443696	HMDB15305
X - 18945		7			42332	LC/MS (-)	2677.1	259.12997				-0.799514353	0.265141018	-0.234367207	5.035991212	
desmethylnaproxen sulfate*	2846	8	Xenobiotics	Drug	34346	LC/MS (-)	2324	295.02818		184679		-2.934623856	0.678049686	-0.235635566	4.828811369	
X - 19434		17			42910	LC/MS (-)	4538	583.3135				-1.097083413	0.37138983	-0.235818343	5.322969117	
X - 14628		14			36555	LC/MS (-)	4037	296.61725				-5.452157706	1.483306498	-0.237131636	5.08708556	
hydroxybupropion*	2875	14	Xenobiotics	Drug	32882	LC/MS (+)	3285	256.10989		446		-2.742955398	0.730854488	-0.238903373	4.986189184	HMDB12235
X - 17307		8			40105	LC/MS (+)	2258.5	162.11245				-1.049041864	0.362162549	-0.241871722	6.371925955	
"carbamazepine 10,11-epoxide*"	2828	7	Xenobiotics	Drug	37020	LC/MS (+)	3969	253.09716	36507-30-9	2555	C07496	-0.152863464	0.059311778	-0.243256209	6.071671652	
1-methylimidazoleacetate	67	179	Amino Acid	Histidine Metabolism	32350	LC/MS (+)	845	141.06586	2625-49-2	75810	C05828	-0.050718966	1.005478725	-2.518702531	1.841747452	HMDB02820
X - 19573		20			43129	LC/MS (-)	3906.5	403.10315				-1.89529059	1.030624314	-0.246318651	7.034322333	
homovanillate sulfate	143	18	Amino Acid	Phenylalanine and Tyrosine Metabolism	38349	LC/MS (-)	1050	261.00744	38339-06-9	29981063		-0.926256415	0.604346575	-0.246968342	7.208055351	HMDB11719
stigmasterol	1524	7	Lipid	Sterol	21183	GC/MS	2359	255.3	83-48-7	5280794	C05442	-0.176484296	0.062924069	-0.247582121	5.497979738	HMDB00937
"5alpha-pregnan-3beta,20alpha-diol disulfate"	1569	197	Lipid	Steroid	37198	LC/MS (-)	3962	239.0853				0.09938384	1.730459793	-1.867996748	3.874239678	
X - 11949		144			33295	LC/MS (+)	3830	220.13596				-0.443974097	1.20850761	-1.687033271	1.974363756	
X - 13728		99			35538	LC/MS (-)	1574	197.06761				-1.936230555	2.099484309	-0.774311802	2.44651405	
X - 19602		33			43159	LC/MS (-)	4375.2	410.13019				-1.897184104	0.710575474	-0.261707941	6.881009137	
1-pentadecanoylglycerol (1-monopentadecanoin)	1445	199	Lipid	Monoacylglycerol	34385	LC/MS (-)	5978	241.2173		190750		0.01023264	0.86109772	-1.692590382	2.185264851	
1-methylguanosine	2176	200	Nucleotide	"Purine Metabolism, Guanine containing"	31609	LC/MS (+)	1850	298.1146	2140-65-0	96373		0.183307187	0.593548098	-1.493775786	3.188623743	HMDB01563
X - 12731		26			34341	LC/MS (-)	2073	238.96905				-1.332072904	0.451855541	-0.266374434	5.402594026	
X - 17614		15			40555	LC/MS (-)	2188.8	525.03369				-2.568506016	0.708759203	-0.266642569	4.417973502	
X - 17381		27			40206	LC/MS (-)	4159.8	293.01184				-1.333160059	1.127619887	-0.267620817	6.719371303	
X - 18059		14			41161	LC/MS (-)	2863.9	175.09776				-1.401128533	0.52718623	-0.267676559	4.327901973	
3-methyl catechol sulfate 1	2381	118	Xenobiotics	Benzoate Metabolism	42494	LC/MS (-)	2779.2	203.00196				-0.215564652	2.015975208	-0.881638042	2.421113831	
X - 15572		9			37821	LC/MS (+)	2475	296.21497				-2.857761911	0.751684009	-0.269623235	3.935691678	
1-arachidonoylglyercophosphate	1427	200	Lipid	Lysolipid	42768	LC/MS (-)	5488.5	457.23606	799268-65-8			0.141808855	1.07288568	-2.210137651	2.352481003	
X - 18271		13			41418	LC/MS (-)	2466.7	529.25				-2.988141823	0.81762575	-0.269992239	4.137205317	
X - 17325		84			40123	LC/MS (+)	3542.6	186.11217				-1.532648567	2.002531593	-0.803167286	2.593597835	
gamma-glutamylglutamate	368	200	Peptide	Gamma-glutamyl Amino Acid	36738	LC/MS (+)	1036	277.10303	1116-22-9	92865	C05282	0.372214101	1.434426042	-3.221751389	2.430691762	HMDB11737
N6-carbamoylthreonyladenosine	2154	200	Nucleotide	"Purine Metabolism, Adenine containing"	35157	LC/MS (+)	2656	413.14154	24719-82-2			0.104858232	0.641197998	-1.628029846	3.241943509	
X - 11871		179			33216	LC/MS (+)	5249	370.36743				-0.085967323	1.17348853	-1.840377294	2.487840347	
X - 13743		140			35553	LC/MS (+)	2363	276.18114				-0.493585597	1.050077658	-1.191104034	2.304161914	
X - 15523		185			37771	LC/MS (-)	4203	309.10056				0.277200181	1.065242664	-0.811215398	3.497012546	
X - 11585		19			37663	LC/MS (-)	3086	330.07523				-0.538827992	0.27020905	-0.284484054	5.913411011	
androsterone sulfate	1597	182	Lipid	Steroid	31591	LC/MS (-)	5011	369.17411	2479-86-9	159663		-1.125687288	3.215816506	-1.528427385	2.044630144	HMDB02759
erucate (22:1n9)	974	199	Lipid	Long Chain Fatty Acid	1552	LC/MS (-)	6273.3	337.3112	112-86-7	5281116	C08316	0.125978964	0.577129093	-1.896904583	2.542245972	HMDB02068
X - 11832		10			33177	LC/MS (-)	1962	216.033				-1.774555095	0.53529142	-0.288423672	4.803864782	
X - 15674		65			37923	LC/MS (-)	1325	187.02512				-4.086861319	1.066595109	-0.289399948	4.716614682	
X - 18886		148			42271	LC/MS (-)	1905.6	217.108				-0.355821469	1.190180212	-1.017953666	2.895601627	
X - 16124		27			38571	LC/MS (-)	2575.1	203.00153				-3.330917087	1.227560819	-0.291209603	4.758386132	
X - 12740		15			34350	LC/MS (-)	2499	287.02246				-1.246463479	0.496176245	-0.292150479	5.247990492	
tyrosylisoleucine	665	197	Peptide	Dipeptide	40075	LC/MS (+)	2518	295.16524	40829-32-1			-0.055072794	0.539845559	-2.403342935	1.951670206	
X - 12748		23			37939	LC/MS (-)	558	320.06249				-0.680750096	0.400176841	-0.295829242	5.14266374	
1-methyladenosine	2144	200	Nucleotide	"Purine Metabolism, Adenine containing"	15650	LC/MS (+)	1356	282.11969	15763-06-1	27476	C02494	0.056847061	0.353670874	-1.860944253	3.713459127	HMDB03331
3-(4-hydroxyphenyl)lactate (HPLA)	116	200	Amino Acid	Phenylalanine and Tyrosine Metabolism	32197	LC/MS (-)	1395	181.05063	6482-98-0	9378	C03672	-0.018014265	0.571442847	-1.987080345	3.430582154	HMDB00755
gamma-glutamyllysine	374	191	Peptide	Gamma-glutamyl Amino Acid	33934	LC/MS (+)	762	276.1554	17105-15-6	65254;14284565		0.164113233	0.823184516	-2.678854912	2.424159793	HMDB03869
X - 17174		26			39844	LC/MS (-)	2488.6	464.17794				-0.715819584	0.386654415	-0.302136697	6.135508487	
X - 18750		18			42113	LC/MS (-)	3222.7	335.02191				-0.826826409	0.793290598	-0.303386845	4.566597751	
ethyl glucuronide	3024	99	Xenobiotics	Chemical	39603	LC/MS (-)	804	221.06667	17685-04-0	152226		-1.078770036	1.524390176	-1.008726788	1.931329541	
homovanillate (HVA)	142	23	Amino Acid	Phenylalanine and Tyrosine Metabolism	1101	LC/MS (-)	1669	181.05063	306-08-1	1738	C05582	-3.150450245	1.34698795	-0.30432361	5.21557687	HMDB00118
X - 13249		37			34947	LC/MS (-)	803	253.09253				-0.685256186	0.417993403	-0.304484445	6.737618934	
X - 18936		23			42323	LC/MS (-)	2034.2	239.04936				-4.023273612	1.908308267	-0.30450699	5.373225218	
propionylglycine (C3)	1138	36	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	31932	LC/MS (-)	966	130.05096	21709-90-0	98681		-5.368914104	1.541464898	-0.304516813	3.851324474	HMDB00783
X - 11858		36			33203	LC/MS (-)	4400	437.05357				-2.460438491	1.632690577	-0.304595017	6.799050145	
X - 12812		29			34495	LC/MS (-)	2443	208.06155				-0.556290623	0.401406451	-0.310904549	6.016240088	
indolelactate	180	200	Amino Acid	Tryptophan Metabolism	18349	LC/MS (+)	3519	206.08117	832-97-3	92904	C02043	0.016133105	0.734161893	-2.215037747	2.510093597	HMDB00671
X - 19183		24			42659	LC/MS (-)	1619	230.04872				-3.527763526	1.308821013	-0.312840031	4.776542844	
X - 13837		36			35732	LC/MS (-)	1002	299.12489				-0.782259785	0.226360128	-0.313033244	4.635085763	
X - 12263		23			33685	LC/MS (-)	1369	275.02256				-1.570404121	0.533557602	-0.314326471	3.972308091	
1-linolenoylglycerophosphocholine (18:3n3)*	1357	200	Lipid	Lysolipid	44562	LC/MS (+)	5527.9	518.32412				-0.358946374	0.838673323	-2.442285195	3.018898198	
X - 18901		96			42286	LC/MS (-)	3820.5	211.0248				-0.317533355	1.261682117	-0.697196071	5.081761307	
dodecanedioate (C12)	1070	200	Lipid	"Fatty Acid, Dicarboxylate"	32388	LC/MS (-)	2990	229.14453	693-23-2	12736	C02678	0.0110515	1.632973	-1.482255378	3.377924137	HMDB00623
X - 18524		35			41753	LC/MS (-)	2051.4	295.13902				-0.969459666	0.891488026	-0.317651102	5.253744396	
X - 19142		46			42549	LC/MS (-)	3789.2	505.26559				-0.93244529	0.392398004	-0.318555188	4.852974342	
valerate (5:0)	937	185	Lipid	Short Chain Fatty Acid	33443	LC/MS (-)	1774	101.0608	109-52-4	7991	C00803	-0.147968963	0.732987611	-2.038994702	1.681092094	HMDB00892
X - 14374		200			36300	LC/MS (+)	2792	197.12796				0.128436708	0.949080481	-2.372289357	2.647178783	
X - 18891		23			42276	LC/MS (-)	2867.1	399.1491				-3.299606327	1.141069849	-0.320398088	4.45488462	
X - 17624		45			40565	LC/MS (-)	2913.8	267.12375				-0.955045558	0.370676208	-0.32250349	4.697109017	
N-octanoylglycine	1145	39	Lipid	Fatty Acid Metabolism(Acyl Glycine)	43502	LC/MS (-)	4340	200.12921	14246-53-8	84290		-0.817772212	0.390947439	-0.327065704	5.918430554	HMDB00832
X - 12828		39			34511	LC/MS (-)	2995	237.12452				-0.794616185	0.694080254	-0.327563226	6.305193822	
2-arachidonoyl-GPE* (20:4)*	1396	200	Lipid	Lysolipid	32815	LC/MS (-)	5674	500.27826				0.138836847	0.747649593	-2.940275396	2.53649923	
X - 13528		44			35302	LC/MS (-)	875	217.08312				-0.547164167	0.363434517	-0.330475308	5.189839928	
1-nonadecanoylglycerophosphocholine(19:0)*	1359	168	Lipid	Lysolipid	44561	LC/MS (+)	5917.4	538.38672	108273-88-7			-0.495491761	1.459244749	-1.847445002	1.831620504	
1-linolenoylglycerol	1455	199	Lipid	Monoacylglycerol	34393	LC/MS (-)	5795	277.2173		53480978		-0.177327195	1.200421846	-3.206134038	2.694219628	HMDB11569
phosphate	936	200	Energy	Oxidative Phosphorylation	11438	GC/MS	1307.7	298.9	7664-38-2	1061	C00009	-0.015730851	0.258900571	-2.466427164	2.664863803	HMDB01429
1-arachidonoyl-GPI* (20:4)*	1416	200	Lipid	Lysolipid	34214	LC/MS (-)	5479	619.28888				0.02949481	0.602938363	-2.779899873	3.134362418	
carnosine	382	24	Peptide	Dipeptide Derivative	1768	LC/MS (-)	813	225.09931	305-84-0	439224	C00386	-3.301376574	1.010722596	-0.337009721	4.679765347	HMDB00033
X - 12714		25			34324	LC/MS (-)	1640	303.07245				-1.748631228	0.661549068	-0.337913891	3.863795059	
X - 12100		200			33515	LC/MS (+)	1793	221.0924				0.099399092	0.54362556	-3.060822193	2.573090277	
bradykinin	691	21	Peptide	Polypeptide	22154	LC/MS (+)	2990	530.78798	58-82-2	439201	C00306	-3.023507222	1.157781079	-0.341566952	3.838379911	HMDB04246
valylalanine	672	33	Peptide	Dipeptide	41518	LC/MS (-)	1675.9	187.10881	27493-61-4	334517		-1.429115946	0.816953886	-0.342571644	4.814306393	
prolylglycine	599	200	Peptide	Dipeptide	40703	LC/MS (+)	875	173.09207	2578-57-6	7408076;6426709		0.027465373	0.921289343	-2.103490992	2.25740953	
X - 13689		56			35498	LC/MS (-)	3696	495.22383				-1.041100805	0.234412453	-0.343928608	4.738023681	
X - 15454		162			37702	LC/MS (+)	1079	246.10831				-0.377054629	1.202730271	-1.865687564	1.945850295	
X - 13862		20			35757	LC/MS (-)	2263	250.07221				-0.733459238	0.336957866	-0.344794615	4.908725917	
X - 17677		27			40774	LC/MS (-)	1552.2	204.98109				-3.012651445	1.079589114	-0.344945513	3.793026882	
X - 17704		31			40801	LC/MS (-)	4648.4	489.26993				-2.021165653	0.872636182	-0.345627045	4.195050145	
X - 20000		200			43776	LC/MS (+)	637.9	80.94772				-0.000197216	0.065671752	-3.893768414	2.423093241	
X - 12705		32			34315	LC/MS (-)	1245	324.07291				-1.665388492	0.465919978	-0.349900169	4.795001623	
X - 16564		23			39137	LC/MS (-)	2858.5	184.098				-1.540177812	0.842513683	-0.352545447	4.693602807	
N-acetylmethionine	269	191	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	1589	LC/MS (-)	1805	190.05434	65-82-7	448580	C02712	-0.018865344	0.7546999	-3.413041241	1.843510363	HMDB11745
X - 18943		31			42330	LC/MS (-)	2624.9	279.09836				-2.754727269	1.214406821	-0.354362387	4.174438841	
3-ethylphenylsulfate*	2392	31	Xenobiotics	Benzoate Metabolism	36848	LC/MS (-)	3490	201.0227			C14386	-1.649931956	0.917563413	-0.355602154	4.466615767	
pseudouridine	2203	200	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	33442	LC/MS (+)	1180	245.07682	1445-07-4		C02067	0.019364103	0.463691793	-2.11323899	3.003265942	HMDB00767
phenylacetylglycine	104	41	Amino Acid	Phenylalanine and Tyrosine Metabolism	33945	LC/MS (-)	2377	192.06661	500-98-1	68144	C05598	-1.748738378	0.690289898	-0.363777003	4.154053863	HMDB00821
dihydroferulic acid	2601	39	Xenobiotics	Food Component/Plant	40481	LC/MS (-)	1929	195.06628	1135-23-5	14340		-2.707593329	0.910858228	-0.366578458	2.97743838	
N-(2-furoyl)glycine	2661	40	Xenobiotics	Food Component/Plant	31536	LC/MS (+)	2076	170.04479	5657-19-2;5657-19-2	21863		-0.863588995	0.701965083	-0.367241635	5.671389383	HMDB00439
X - 18918		28			42303	LC/MS (-)	4646.8	427.18				-5.127633676	2.078444669	-0.368525104	4.031558269	
X - 12048		178			33399	LC/MS (+)	2485	171.11276				0.78567984	3.5726137	-0.966164935	2.892421886	
"3,7-dimethylurate"	2414	41	Xenobiotics	Xanthine Metabolism	34399	LC/MS (-)	1432	195.05236	13087-49-5	83126	C16360	-1.168590581	0.983770148	-0.370332403	4.157232121	HMDB01982
2'-deoxyuridine	2215	23	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	1412	LC/MS (-)	1608	227.06734	951-78-0	13712	C00526	-2.710107573	1.032367897	-0.372204463	3.380715475	HMDB00012
N-acetyltryptophan	177	183	Amino Acid	Tryptophan Metabolism	33959	LC/MS (+)	3553	247.10772	1218-34-4	700653	C03137	-0.080261479	0.907366714	-1.76778932	3.160179514	HMDB13713
vaccenate (18:1n7)	960	194	Lipid	Long Chain Fatty Acid	33970	GC/MS	1987	339.3	506-17-2	5282761	C08367	0.082133371	0.931038639	-2.06081847	2.689547795	HMDB03231
X - 13871		165			35766	LC/MS (+)	980	192.0322				-0.408220002	1.080078797	-1.773038734	2.177320578	
X - 12013		119			33359	LC/MS (-)	2094	242.01238				-0.422416914	1.512336537	-0.907672431	2.398754159	
hexanoylglycine (C6)	1143	43	Lipid	Fatty Acid Metabolism(Acyl Glycine)	35436	LC/MS (-)	2918	172.09791	24003-67-6	99463		-0.937645383	0.316844898	-0.374939939	3.586711339	HMDB00701
eicosapentaenoate (EPA; 20:5n3)	983	200	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	18467	LC/MS (-)	5442	301.2173	10-2005-9;10417-94-4	446284	C06428	-0.184535635	0.848828326	-2.198911983	2.782074505	HMDB01999
X - 16574		35			39147	LC/MS (-)	4357.6	263.00147				-1.12684021	0.571782056	-0.376235584	4.300764833	
phenyllactate (PLA)	98	200	Amino Acid	Phenylalanine and Tyrosine Metabolism	22130	LC/MS (-)	2237	165.05571	828-01-3	3848	C05607	0.095143277	0.670793906	-2.103701961	2.888312235	HMDB00779
phenylalanylarginine	579	58	Peptide	Dipeptide	41487	LC/MS (+)	1553	322.18737	1238-09-1	10268029		-1.784402303	1.739151125	-0.525589911	2.802212433	
X - 12262		32			33684	LC/MS (-)	2318	258.008				-1.059480739	0.63316792	-0.382741923	4.343030262	
lidocaine	2892	22	Xenobiotics	Drug	35661	LC/MS (+)	2900	235.18049	137-58-6	3676	D00358	-7.817161473	4.226958019	-0.382911792	3.727774452	HMDB14426
X - 12819		51			34502	LC/MS (-)	2702	170.08223				-0.834326639	0.398754541	-0.384021787	4.451100024	
X - 16130		51			38577	LC/MS (+)	1693.6	289.15051				-0.774730052	0.731067159	-0.38597725	5.548530174	
"5alpha-androstan-3beta,17beta-diol disulfate"	1621	134	Lipid	Steroid	37190	LC/MS (-)	3872	225.06965	571-20-0	242332	C12525	-1.734372094	2.543408562	-1.037954438	2.530415829	HMDB00493
beta-sitosterol	1523	88	Lipid	Sterol	27414	GC/MS	2380.8	357.4	83-46-5	222284	C01753	-0.604965161	0.950760358	-0.724785814	4.32894802	HMDB00852
X - 18897		33			42282	LC/MS (-)	3499.7	221.0842				-4.442666384	2.354461024	-0.386625056	3.387536552	
X - 11849		55			33194	LC/MS (-)	3229	266.01746				-1.363547467	1.151910571	-0.386789532	6.01749919	
X - 13772		40			35582	LC/MS (-)	1799	243.12344				-1.226751827	0.734623325	-0.387417132	4.122163536	
2-stearoylglycerophosphoethanolamine*	1386	144	Lipid	Lysolipid	41220	LC/MS (+)	5779.6	482.32412				-0.591400253	1.162583727	-1.278941898	1.908606315	
X - 14352		200			36278	LC/MS (+)	2635	247.12911				0.258872311	1.059565265	-1.820538617	4.460132285	
X - 11799		29			33144	LC/MS (+)	1572	226.12839				-2.154471582	0.952821502	-0.390948587	3.774410612	
X - 16649		35			39225	LC/MS (-)	3008.8	353.03379				-2.663789309	1.51463693	-0.391754794	5.36661549	
X - 12831		49			34514	LC/MS (-)	3214	433.20794				-1.118190819	0.51979848	-0.393981198	4.15649731	
traumatic acid	2727	48	Xenobiotics	Food Component/Plant	42964	LC/MS (-)	2877	227.12888	6402-36-4	5283028	C16308	-1.167256834	0.914815052	-0.395493512	5.7981337	HMDB00933
X - 12676		39			34282	LC/MS (+)	4605	325.24802				-2.129392876	1.766720749	-0.396170784	4.087326267	
X - 13928		61			35823	LC/MS (+)	1947	190.10728				-1.039922601	1.338539321	-0.396944712	5.593618766	
X - 12851		30			34535	LC/MS (-)	4886	624.33755				-1.069858047	0.408079512	-0.39704577	3.882394746	
X - 12324		40			33746	LC/MS (-)	2052	217.01769				-1.998179988	1.488251966	-0.399277678	6.088609213	
X - 12056		166			33408	LC/MS (+)	1129	156.07673				-1.243262877	3.036222086	-1.39327214	2.659334009	
X - 11662		183			33269	LC/MS (+)	3172	251.10252				-0.089819836	1.389147301	-1.938194915	2.631841863	
N2-acetyllysine	70	199	Amino Acid	Lysine Metabolism	36751	LC/MS (+)	853	189.12337	1946-82-3	92907	C12989	0.058848156	0.915695013	-1.729126288	2.676586163	HMDB00446
glutamine-isoleucine	464	39	Peptide	Dipeptide	42988	LC/MS (-)	1854	258.14593				-1.790621302	0.988789341	-0.403031066	3.776363604	
12-HETE	1279	199	Lipid	Eicosanoid	37536	LC/MS (-)	5295	319.22786	73837-14-6	5312983		0.180238064	1.220862727	-1.903216623	2.494389709	HMDB06111
X - 15649		66			37898	LC/MS (-)	4039	277.14368				-1.018121514	0.869111166	-0.403414594	4.777679082	
X - 18905		33			42290	LC/MS (-)	3938	427.18021				-4.958225295	2.540775571	-0.403626255	3.88452871	
4-acetamidobutanoate	345	200	Amino Acid	Polyamine Metabolism	1558	LC/MS (+)	1724	146.08117	3025-96-5	18189	C02946	-0.06927749	0.864098663	-2.699858838	3.170409193	HMDB03681
4-hydroxyphenylacetate	102	181	Amino Acid	Phenylalanine and Tyrosine Metabolism	541	GC/MS	1630.6	179	156-38-7	127	C00642	-0.070584055	1.292553419	-1.458654146	4.239842018	HMDB00020
1-methylhistidine	52	49	Amino Acid	Histidine Metabolism	30460	LC/MS (-)	1245	168.07785	332-80-9	92105	C01152	-0.433854437	0.421994534	-0.410154786	5.571066507	HMDB00001
X - 18889		49			42274	LC/MS (-)	2662.5	202.1088				-1.629115986	0.685621026	-0.410497219	3.22371727	
alpha-CEHC glucuronide*	2300	61	Cofactors and Vitamins	Tocopherol Metabolism	39346	LC/MS (-)	2623.1	453.17662				-1.073383171	0.444310185	-0.410773518	3.265606662	
X - 18911		38			42296	LC/MS (-)	4224.9	530.28				-3.909753028	2.121715306	-0.411918906	3.478885346	
X - 13695		37			35504	LC/MS (-)	2511	245.01261				-0.972740676	0.524306256	-0.412108579	3.772928715	
X - 14697		40			36624	LC/MS (-)	1310	259.1302				-1.070038311	0.543835148	-0.412598131	4.85032457	
p-acetamidophenylglucuronide	2776	27	Xenobiotics	Drug	33423	LC/MS (-)	1377	326.08814	120595-80-4	83944		-3.463280419	1.942819218	-0.415682434	3.976404208	HMDB10316
X - 18946		49			42333	LC/MS (-)	2740.4	269.13965				-0.698047324	0.94958088	-0.416177745	6.52023607	
pelargonate (9:0)	941	200	Lipid	Medium Chain Fatty Acid	12035	LC/MS (-)	4847	157.1234	112-05-0	8158	C01601	0.053445651	0.536967927	-2.047457714	3.510002616	HMDB00847
X - 19455		50			42931	LC/MS (-)	4385.7	261.0228				-0.936908066	0.609900566	-0.42204676	3.914659321	
5-HETE	1274	35	Lipid	Eicosanoid	37372	LC/MS (-)	5372	319.22786	73307-52-5	5280733	C04805	-1.647385376	1.044030997	-0.422646366	3.734159715	HMDB11134
X - 17343		52			40142	LC/MS (-)	1312.5	190.96584				-2.076074125	1.195925264	-0.426609569	4.529680425	
X - 19145		155			42552	LC/MS (-)	4170.5	417.21176				-0.769509223	1.256473817	-1.142844588	1.747764946	
X - 15439		35			37687	LC/MS (-)	3616	349.0014				-1.950702302	1.204558342	-0.42863224	5.243476814	
X - 12637		33			34236	LC/MS (-)	3430	257.15072				-1.02887001	0.483565563	-0.430701996	3.749317043	
N-methyl proline	320	200	Amino Acid	Urea cycle; Arginine and Proline Metabolism	37431	LC/MS (+)	833	130.08626	475-11-6	557		0.279930417	1.729973075	-2.256515565	2.607379182	
X - 18907		41			42292	LC/MS (-)	4066.7	222.092				-3.386156259	2.158433449	-0.433141211	3.477560395	
X - 13529		190			35290	LC/MS (+)	3088	190.10709				0.028564042	0.835746479	-2.33157434	3.900384366	
X - 15678		200			37927	LC/MS (+)	1742	249.05429				-0.176139914	0.740190197	-2.474737168	1.671973127	
"5alpha-androstan-3alpha,17beta-diol disulfate"	1620	51	Lipid	Steroid	37184	LC/MS (-)	4240	225.06965				-2.403348626	1.090667611	-0.439189277	3.275134457	
X - 12261		47			33683	LC/MS (-)	1850	258.00721				-1.0376006	0.841823137	-0.440495791	4.298749701	
3-(N-acetyl-L-cystein-S-yl) acetaminophen*	2773	26	Xenobiotics	Drug	18299	LC/MS (+)	2622	313.08528	52372-86-8	83967		-5.186304301	2.193478436	-0.440750358	3.306993271	
phenol sulfate	120	200	Amino Acid	Phenylalanine and Tyrosine Metabolism	32553	LC/MS (-)	2150	172.9914	937-34-8	74426	C02180	-0.091572446	1.09891583	-2.421363135	1.991153645	HMDB60015
"5alpha-androstan-3beta,17alpha-diol disulfate"	1619	61	Lipid	Steroid	37187	LC/MS (-)	4207	225.06965				-2.865309665	1.273237795	-0.440869195	4.714495353	
ibuprofen	2780	29	Xenobiotics	Drug	17799	LC/MS (-)	4951	205.1234	15687-27-1	3672	D00126	-3.943046018	2.045107389	-0.441586389	4.362824242	HMDB01925
cystine	287	65	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	39512	GC/MS	2015.3	145.9	56-89-3	67678	C00491	-1.256962553	0.631892134	-0.442042103	3.654386519	HMDB00192
X - 11261		200			32578	LC/MS (+)	3600	286.20173				0.100138627	1.057921357	-2.338212827	2.033381597	
X - 12195		45			33616	LC/MS (-)	3369	333.0068				-1.852634819	1.30770368	-0.44344726	5.02331715	
X - 13737		200			35547	LC/MS (+)	923	129.10216				0.057937999	0.569954532	-1.851081786	3.359731082	
erythronate*	909	200	Carbohydrate	Aminosugar Metabolism	33477	GC/MS	1546.9	292.1	88759-55-1	2781043		0.049002042	0.525612716	-2.142152587	1.752374712	HMDB00613
sebacate (decanedioate)	1067	183	Lipid	"Fatty Acid, Dicarboxylate"	32398	LC/MS (-)	1778	201.11323	111-20-6	5192	C08277	0.232045983	1.744865116	-1.234406818	3.078641048	HMDB00792
X - 15484		200			37732	LC/MS (+)	2506	271.10481				-0.216167133	0.552171424	-3.682865019	2.867471389	
X - 18898		50			42283	LC/MS (-)	3603.6	583.25653				-0.628236846	0.724492535	-0.449335661	4.281678725	
I-urobilinogen	2325	50	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	32426	LC/MS (-)	4181	591.31881	14684-37-8	26818	C05790	-1.308259889	0.98427509	-0.452503547	4.222266179	HMDB04157
1-docosahexaenoylglycerophosphoethanolamine*	1402	200	Lipid	Lysolipid	44633	LC/MS (-)	5650	524.2783				0.071746663	0.879094292	-1.55490324	2.925027337	
ranitidine	2942	44	Xenobiotics	Drug	38595	LC/MS (+)	1967	315.14854	66357-59-3	3001055	D00422	-4.056045814	2.639292009	-0.456217901	4.97451973	HMDB01930
X - 12306		57			33728	LC/MS (-)	2364	247.02829				-0.992192255	0.54458125	-0.456743128	3.962129856	
X - 17692		43			40789	LC/MS (-)	3071.9	370.096				-1.194373544	1.191376085	-0.459431743	3.936282401	
X - 12293		50			33715	LC/MS (-)	1626	258.04381				-1.89269179	1.321592017	-0.460557618	3.748822776	
X - 14411		168			36337	LC/MS (-)	3078	261.12479				-0.357254627	1.108532768	-1.45625497	2.442589234	
X - 19448		53			42924	LC/MS (-)	3347.9	207.0659				-0.428204908	0.757869684	-0.4697341	5.10219798	
ascorbate (Vitamin C)	2285	90	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	1640	GC/MS	1850.1	332.1	134-03-2		C00072	-3.072930044	1.165115955	-0.469919833	4.163825255	HMDB00044
X - 15192		200			37333	LC/MS (+)	674	188.17561				0.145704823	0.637025609	-1.777916729	2.647582119	
4-acetamidophenol	2775	28	Xenobiotics	Drug	12032	LC/MS (+)	2238	152.07061	103-90-2	1983	C06804	-4.884993544	2.399920158	-0.47102219	3.125177416	HMDB01859
X - 14662		143			36589	LC/MS (-)	4327	263.62768				-0.855354946	1.698298602	-1.083818887	2.76080247	
X - 17447		60			40276	LC/MS (-)	4618.8	303.14505				-1.219615695	2.418161409	-0.475929275	4.788234353	
X - 15220		55			37362	LC/MS (-)	2632	274.11169				-1.401780177	1.016593362	-0.476070475	4.13454111	
isoleucylthreonine	521	39	Peptide	Dipeptide	42968	LC/MS (-)	2250	231.13503				-2.44806969	1.341243058	-0.476808811	3.618139879	
